DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_T-21 2023,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,
,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
NOVIEMBRE,15,14,NA,NA,0.007,33
NOVIEMBRE,15,15,NA,NA,0.007,33
NOVIEMBRE,15,16,NA,NA,0.007,34
NOVIEMBRE,15,17,NA,NA,0.007,29
NOVIEMBRE,15,18,NA,NA,0.007,23
NOVIEMBRE,15,19,NA,NA,0.007,24
NOVIEMBRE,15,20,NA,NA,0.007,22
NOVIEMBRE,15,21,NA,NA,0.007,23
NOVIEMBRE,15,22,NA,NA,0.007,24
NOVIEMBRE,15,23,NA,NA,0.007,24
NOVIEMBRE,16,0,NA,NA,0.007,24
NOVIEMBRE,16,1,NA,NA,0.007,20
NOVIEMBRE,16,2,NA,NA,0.007,21
NOVIEMBRE,16,3,NA,NA,0.007,24
NOVIEMBRE,16,4,NA,NA,0.007,22
NOVIEMBRE,16,5,NA,NA,0.007,20
NOVIEMBRE,16,6,NA,NA,0.007,19
NOVIEMBRE,16,7,NA,NA,0.007,17
NOVIEMBRE,16,8,NA,NA,0.007,24
NOVIEMBRE,16,9,NA,NA,0.007,35
NOVIEMBRE,16,10,NA,NA,0.007,38
NOVIEMBRE,16,11,NA,NA,0.007,43
NOVIEMBRE,16,12,NA,NA,0.007,48
NOVIEMBRE,16,13,NA,NA,0.007,39
NOVIEMBRE,16,14,NA,NA,0.007,32
NOVIEMBRE,16,15,NA,NA,0.007,29
NOVIEMBRE,16,16,NA,NA,0.006,22
NOVIEMBRE,16,17,NA,NA,0.006,23
NOVIEMBRE,16,18,NA,NA,0.006,24
NOVIEMBRE,16,19,NA,NA,0.006,23
NOVIEMBRE,16,20,NA,NA,0.007,34
NOVIEMBRE,16,21,NA,NA,0.007,43
NOVIEMBRE,16,22,NA,NA,0.007,47
NOVIEMBRE,16,23,NA,NA,0.007,43
NOVIEMBRE,17,0,NA,NA,0.007,34
NOVIEMBRE,17,1,NA,NA,0.007,25
NOVIEMBRE,17,2,NA,NA,0.007,35
NOVIEMBRE,17,3,NA,NA,0.007,38
NOVIEMBRE,17,4,NA,NA,0.007,35
NOVIEMBRE,17,5,NA,NA,0.007,34
NOVIEMBRE,17,6,NA,NA,0.007,32
NOVIEMBRE,17,7,NA,NA,0.007,24
NOVIEMBRE,17,8,NA,NA,0.007,28
NOVIEMBRE,17,9,NA,NA,0.007,71
NOVIEMBRE,17,10,NA,NA,0.007,95
NOVIEMBRE,17,11,NA,NA,0.008,81
NOVIEMBRE,17,12,NA,NA,0.009,64
NOVIEMBRE,17,13,NA,NA,0.009,52
NOVIEMBRE,17,14,NA,NA,0.009,42
NOVIEMBRE,17,15,NA,NA,0.009,34
NOVIEMBRE,17,16,NA,NA,0.009,25
NOVIEMBRE,17,17,NA,NA,0.009,23
NOVIEMBRE,17,18,NA,NA,0.009,26
NOVIEMBRE,17,19,NA,NA,0.009,28
NOVIEMBRE,17,20,NA,NA,0.009,34
NOVIEMBRE,17,21,NA,NA,0.009,35
NOVIEMBRE,17,22,NA,NA,0.009,38
NOVIEMBRE,17,23,NA,NA,0.009,35
NOVIEMBRE,18,0,NA,NA,0.009,48
NOVIEMBRE,18,1,NA,NA,0.009,57
NOVIEMBRE,18,2,NA,NA,0.009,75
NOVIEMBRE,18,3,NA,NA,0.009,62
NOVIEMBRE,18,4,NA,NA,0.009,51
NOVIEMBRE,18,5,NA,NA,0.009,44
NOVIEMBRE,18,6,NA,NA,0.009,41
NOVIEMBRE,18,7,NA,NA,0.009,35
NOVIEMBRE,18,8,NA,NA,0.010,40
NOVIEMBRE,18,9,NA,NA,0.010,101
NOVIEMBRE,18,10,NA,NA,0.010,128
NOVIEMBRE,18,11,NA,NA,0.009,110
NOVIEMBRE,18,12,NA,NA,0.009,79
NOVIEMBRE,18,13,NA,NA,0.009,62
NOVIEMBRE,18,14,NA,NA,0.008,47
NOVIEMBRE,18,15,NA,NA,0.008,39
NOVIEMBRE,18,16,NA,NA,0.008,37
NOVIEMBRE,18,17,NA,NA,0.008,33
NOVIEMBRE,18,18,NA,NA,0.008,32
NOVIEMBRE,18,19,NA,NA,0.009,42
NOVIEMBRE,18,20,NA,NA,0.009,52
NOVIEMBRE,18,21,NA,NA,0.009,49
NOVIEMBRE,18,22,NA,NA,0.009,36
NOVIEMBRE,18,23,NA,NA,0.009,36
NOVIEMBRE,19,0,NA,NA,0.009,60
NOVIEMBRE,19,1,NA,NA,0.009,59
